ID	age	sex	n_babies	observer	year	pop_size	weight
125	0	f	2	12	1982	159	4.297143201073954
151	0	f	2	13	1982	159	3.345296639925623
157	2	m	2	8	1982	159	5.0563930911457
162	0	f	2	17	1982	159	3.0209297747745643
189	0	f	2	11	1982	159	3.349290821509246
212	1	m	0	11	1982	159	4.469187545363309
215	1	m	0	15	1982	159	4.759758274240253
221	0	m	1	4	1982	159	4.493718955739599
301	0	f	0	11	1982	159	2.885044065713189
311	2	f	2	4	1982	159	5.942923685213125
323	1	f	1	2	1982	159	4.754721687988991
326	2	m	1	4	1982	159	5.022286122816001
349	1	m	0	18	1982	159	3.8538507625667373
351	0	f	0	11	1982	159	4.06139247153416
357	1	f	1	15	1982	159	NA
406	2	m	1	12	1982	159	4.212192778761684
407	0	f	1	14	1982	159	4.149661173294926
412	0	m	2	18	1982	159	4.165729624903271
433	0	m	1	1	1982	159	3.8963749392558817
437	1	m	2	20	1982	159	4.514008697995967
438	0	f	0	2	1982	159	4.210522560583021
442	1	m	0	1	1982	159	3.5436532858633427
464	0	f	1	17	1982	159	4.281510386690198
474	2	m	0	9	1982	159	4.447126429910693
521	2	f	1	2	1982	159	3.9050672887451925
522	0	m	2	17	1982	159	3.475925472818864
530	1	m	2	20	1982	159	5.1026577176828
549	2	f	0	1	1982	159	5.400846041119782
551	0	f	0	15	1982	159	4.317467854953498
575	2	m	0	11	1982	159	6.058387655276855
588	2	f	1	15	1982	159	4.781023173657893
589	2	f	1	10	1982	159	4.525312555752845
597	1	m	1	8	1982	159	5.298380645607366
598	0	f	0	15	1982	159	3.270463892647915
625	1	m	2	15	1982	159	4.185288835370758
628	2	m	1	5	1982	159	5.815552384333425
637	1	f	2	3	1982	159	3.910646671130234
649	0	m	1	6	1982	159	4.5253227210014595
659	0	m	1	12	1982	159	4.750771149157307
720	2	f	2	12	1982	159	5.20019932368651
725	2	m	2	17	1982	159	3.712522929901919
727	2	f	2	16	1982	159	4.862702359589631
732	1	f	1	20	1982	159	4.469969297056342
747	1	m	2	17	1982	159	4.619832643519334
764	1	f	1	16	1982	159	3.3357829922422644
788	2	f	1	1	1982	159	3.8838251511533604
791	2	f	1	8	1982	159	NA
802	2	m	1	1	1982	159	4.493601366245355
814	0	m	0	19	1982	159	3.659745891817811
816	0	f	2	17	1982	159	2.781160119202849
817	2	m	2	19	1982	159	5.848527289898184
821	1	f	2	20	1982	159	3.935406078081854
833	1	m	0	1	1982	159	5.02427995424378
849	1	m	1	4	1982	159	5.524746624965737
850	0	m	1	3	1982	159	4.053048581386476
882	0	f	2	15	1982	159	4.918097885952443
887	1	m	0	13	1982	159	5.115274008318965
895	2	f	1	6	1982	159	5.72631068004146
17	0	f	0	10	1983	146	4.471998875823743
18	1	f	0	10	1983	146	4.764275854450187
25	3	m	2	19	1983	146	7.06725401321361
40	0	f	0	6	1983	146	4.787952623422251
47	0	f	2	4	1983	146	3.6271500397053975
58	2	m	0	2	1983	146	NA
60	2	m	2	6	1983	146	4.929093097525242
78	1	f	0	13	1983	146	5.716190872091122
94	3	f	0	6	1983	146	6.734774101318632
98	2	m	1	9	1983	146	5.873803856239418
99	0	m	2	6	1983	146	4.965720897406254
120	1	m	0	19	1983	146	5.774283899898148
125	1	f	2	3	1983	146	5.292031360676914
151	1	f	2	3	1983	146	3.6259277654226967
157	3	m	2	5	1983	146	5.430740743197138
162	1	f	2	19	1983	146	3.791798268912826
189	1	f	0	17	1983	146	4.345362692359657
204	0	m	0	19	1983	146	NA
212	2	m	1	7	1983	146	5.22291635124394
215	2	m	2	6	1983	146	NA
221	1	m	0	19	1983	146	5.342062436635767
242	0	m	1	20	1983	146	4.08179844669038
268	0	f	0	2	1983	146	3.812264057337871
271	0	f	1	1	1983	146	4.315007831710706
286	0	m	0	4	1983	146	4.186837163478204
301	1	f	0	10	1983	146	3.276687450580316
303	0	f	0	12	1983	146	4.012318002542039
311	3	f	0	12	1983	146	6.811782921017789
318	0	f	1	16	1983	146	4.816438769064731
323	2	f	1	7	1983	146	5.588803380828267
326	3	m	1	3	1983	146	5.698066685576229
349	2	m	0	5	1983	146	5.59658441628426
351	1	f	1	20	1983	146	4.563376786822932
357	2	f	1	9	1983	146	3.9811216632855575
372	0	f	0	17	1983	146	NA
406	3	m	2	19	1983	146	5.130239150794544
410	0	m	0	3	1983	146	5.764251832081126
433	1	m	0	18	1983	146	5.0655071117647745
437	2	m	2	6	1983	146	NA
438	1	f	1	1	1983	146	NA
442	2	m	0	10	1983	146	4.290277900661948
464	1	f	0	11	1983	146	5.299906916449579
473	0	m	0	7	1983	146	NA
474	3	m	1	14	1983	146	4.631787473128567
521	3	f	2	2	1983	146	4.717296058059857
522	1	m	1	4	1983	146	4.35160989396366
549	3	f	2	12	1983	146	6.323150618380395
551	1	f	1	3	1983	146	4.693990113884297
569	0	m	2	8	1983	146	NA
575	3	m	1	1	1983	146	NA
588	3	f	1	1	1983	146	5.322042909471792
589	3	f	2	18	1983	146	4.902375821554087
594	0	f	2	20	1983	146	4.014879658320762
597	2	m	2	3	1983	146	6.130233235487208
598	1	f	0	7	1983	146	NA
625	2	m	2	15	1983	146	4.315985438118145
628	3	m	2	9	1983	146	6.943429272509144
637	2	f	1	6	1983	146	NA
649	1	m	0	8	1983	146	5.587226004955281
659	1	m	1	10	1983	146	NA
681	0	f	1	20	1983	146	4.3427528521228105
719	0	f	2	5	1983	146	3.3717720171636567
720	3	f	2	5	1983	146	5.835985855712407
723	0	f	0	11	1983	146	4.038636180859037
727	3	f	2	15	1983	146	6.0091497833351335
732	2	f	0	11	1983	146	5.181918343737964
742	0	f	1	9	1983	146	4.104442846948013
747	2	m	1	7	1983	146	5.549802233394549
750	0	f	0	5	1983	146	4.493968701256651
764	2	f	1	14	1983	146	4.614247235816382
788	3	f	2	9	1983	146	4.73454776311717
791	3	f	0	14	1983	146	5.397384397615028
802	3	m	0	5	1983	146	5.79781144588345
814	1	m	0	9	1983	146	4.195118169795745
816	1	f	0	10	1983	146	3.797567702346277
817	3	m	0	3	1983	146	6.487229954642519
821	2	f	0	16	1983	146	5.274320320523844
833	2	m	1	11	1983	146	5.766049517447051
849	2	m	1	15	1983	146	6.335313641458618
850	1	m	1	1	1983	146	5.039679931117208
864	0	m	2	8	1983	146	5.289914345915417
882	1	f	2	8	1983	146	5.548174052309897
887	2	m	0	19	1983	146	6.5208325421125615
895	3	f	1	18	1983	146	6.5690607668704795
17	1	f	2	4	1984	162	4.267609509992198
18	2	f	0	4	1984	162	5.363545578160769
25	4	m	1	19	1984	162	6.675938547693703
40	1	f	1	17	1984	162	NA
47	1	f	2	16	1984	162	3.805926058258657
58	3	m	0	15	1984	162	5.770015179652625
60	3	m	1	12	1984	162	NA
78	2	f	0	5	1984	162	6.267047679100366
94	4	f	2	12	1984	162	6.397067599645856
98	3	m	0	3	1984	162	5.876431229492218
99	1	m	0	5	1984	162	4.788227513748526
104	0	f	0	6	1984	162	3.8944474719432147
120	2	m	2	19	1984	162	5.5386611871247435
125	2	f	1	5	1984	162	5.813925280553749
132	0	m	2	10	1984	162	3.313908211862151
136	0	f	2	15	1984	162	3.4244290046328953
151	2	f	0	16	1984	162	NA
157	4	m	0	9	1984	162	5.408001133561796
162	2	f	1	13	1984	162	3.518922100719786
189	2	f	2	7	1984	162	4.0503113154093295
204	1	m	1	16	1984	162	4.450672099361081
212	3	m	0	15	1984	162	5.540855988252074
215	3	m	0	2	1984	162	NA
221	2	m	0	14	1984	162	5.1120229340779995
231	0	f	2	20	1984	162	3.672337469106308
232	0	m	2	7	1984	162	5.284681923791395
258	0	f	2	6	1984	162	4.213069778393463
268	1	f	1	10	1984	162	3.6498271729818903
271	1	f	1	7	1984	162	3.9722558391045464
282	0	m	2	16	1984	162	NA
286	1	m	0	16	1984	162	4.619910347420064
294	0	f	0	8	1984	162	3.3189867386547958
301	2	f	1	7	1984	162	3.477708839352121
303	1	f	0	16	1984	162	3.990611338849877
307	0	m	1	19	1984	162	3.1444163003217174
311	4	f	2	1	1984	162	7.027284528148424
318	1	f	1	5	1984	162	4.756115423253248
323	3	f	0	4	1984	162	5.866144600983039
326	4	m	1	12	1984	162	5.602887291696263
349	3	m	2	18	1984	162	5.1091188149747975
351	2	f	0	3	1984	162	4.851060413039391
357	3	f	1	19	1984	162	4.087159756183233
366	0	f	1	19	1984	162	3.8067555919060436
372	1	f	2	14	1984	162	4.914044850852617
379	0	m	0	9	1984	162	4.907815115929774
405	0	m	0	7	1984	162	NA
406	4	m	0	5	1984	162	5.122928220574053
410	1	m	1	8	1984	162	5.460174501356899
413	0	f	1	9	1984	162	3.394738409688935
427	0	m	0	10	1984	162	3.5436454106994955
429	0	f	1	4	1984	162	3.82334429892729
433	2	m	0	1	1984	162	4.837318678502114
438	2	f	1	11	1984	162	NA
442	3	m	1	11	1984	162	4.447868325230337
452	0	m	1	16	1984	162	3.776241308003648
458	0	f	2	13	1984	162	4.116856357838533
464	2	f	2	3	1984	162	NA
473	1	m	2	17	1984	162	6.007392996535609
474	4	m	1	12	1984	162	NA
516	0	f	2	16	1984	162	3.4661310607348286
522	2	m	0	15	1984	162	NA
523	0	m	0	5	1984	162	4.136900984594427
545	0	m	2	16	1984	162	4.6975210784355825
549	4	f	2	12	1984	162	6.163507762889741
551	2	f	0	15	1984	162	5.210803402992099
569	1	m	1	19	1984	162	6.599582209963129
575	4	m	2	9	1984	162	6.321552015764391
588	4	f	0	7	1984	162	5.176365370661307
589	4	f	2	16	1984	162	5.3937376485650566
598	2	f	1	19	1984	162	NA
625	3	m	1	11	1984	162	4.432257949069419
628	4	m	2	1	1984	162	6.7115074533135495
637	3	f	2	2	1984	162	5.059475091411894
649	2	m	2	14	1984	162	NA
659	2	m	2	6	1984	162	5.198024292295403
681	1	f	0	4	1984	162	3.7544125478228407
690	0	m	1	5	1984	162	3.70529113053968
719	1	f	0	15	1984	162	3.6387327113047854
720	4	f	1	11	1984	162	6.254447003918178
723	1	f	2	5	1984	162	4.025504569201879
730	0	f	2	6	1984	162	4.066298397359323
732	3	f	2	20	1984	162	5.235779766406068
742	1	f	0	5	1984	162	4.218911076559241
747	3	m	0	1	1984	162	5.8563158560162805
750	1	f	0	17	1984	162	4.923436481914276
764	3	f	2	17	1984	162	4.315741208022343
788	4	f	0	6	1984	162	4.398121567613838
791	4	f	1	13	1984	162	5.7850421080569605
802	4	m	0	1	1984	162	5.7455038884098135
814	2	m	1	1	1984	162	4.3998206446854535
816	2	f	1	2	1984	162	3.6865065446920435
821	3	f	0	7	1984	162	5.2568236723662976
828	0	m	2	1	1984	162	3.9771088016292424
833	3	m	2	15	1984	162	5.658937815589863
849	3	m	0	16	1984	162	6.342303781811
850	2	m	0	16	1984	162	5.240205606694332
864	1	m	2	7	1984	162	5.3229887679695125
882	2	f	0	9	1984	162	6.338378507935603
883	0	f	0	12	1984	162	5.063326248365001
887	3	m	0	10	1984	162	6.7244336219783065
895	4	f	0	3	1984	162	6.697421550968751
17	2	f	2	14	1985	150	5.347383820677702
18	3	f	0	11	1985	150	5.993484146315293
25	5	m	1	7	1985	150	7.8813983593835735
40	2	f	0	7	1985	150	5.756939848791604
46	0	m	0	7	1985	150	4.885841720944999
47	2	f	2	19	1985	150	NA
58	4	m	0	6	1985	150	6.609252980086609
60	4	m	2	19	1985	150	5.607870013317769
71	0	f	0	15	1985	150	3.005664605063227
78	3	f	0	20	1985	150	7.201569952847621
94	5	f	1	15	1985	150	NA
98	4	m	0	10	1985	150	NA
99	2	m	2	12	1985	150	5.636925585891982
104	1	f	0	14	1985	150	4.675523336661156
113	0	f	0	4	1985	150	4.807941068167843
119	0	m	1	10	1985	150	4.135959486826401
120	3	m	2	7	1985	150	NA
125	3	f	2	7	1985	150	5.840590253425975
132	1	m	2	14	1985	150	4.105165567908
136	1	f	0	10	1985	150	4.951123356701464
144	0	m	1	9	1985	150	5.358285399050378
151	3	f	2	18	1985	150	4.711332205837413
157	5	m	1	10	1985	150	6.762405903039592
162	3	f	1	18	1985	150	4.428496030297842
166	0	m	2	2	1985	150	3.7892417452359153
189	3	f	1	12	1985	150	5.077893308509767
195	0	m	2	2	1985	150	4.047100458062724
202	0	f	0	7	1985	150	NA
204	2	m	1	20	1985	150	5.04090175271687
212	4	m	1	5	1985	150	NA
221	3	m	0	18	1985	150	6.139952964646184
226	0	f	2	18	1985	150	5.939713424658637
231	1	f	0	4	1985	150	4.390317928310548
232	1	m	2	11	1985	150	5.7119322007813675
243	0	f	1	6	1985	150	4.04399660249535
249	0	f	1	15	1985	150	3.655687519134595
252	0	m	2	12	1985	150	NA
258	1	f	1	15	1985	150	4.565202529398558
268	2	f	0	14	1985	150	4.3150203173255095
271	2	f	1	10	1985	150	4.923080742674498
274	0	f	0	14	1985	150	4.069107679245624
282	1	m	1	17	1985	150	NA
286	2	m	1	20	1985	150	5.35409017351764
294	1	f	0	18	1985	150	3.9487533031508653
301	3	f	0	4	1985	150	4.407658543213195
304	0	f	1	1	1985	150	4.223688850550603
305	0	m	2	15	1985	150	4.419629636237193
307	1	m	1	17	1985	150	3.7762728561891508
311	5	f	1	2	1985	150	NA
318	2	f	2	14	1985	150	5.24454804683198
323	4	f	0	17	1985	150	6.663033856156824
326	5	m	0	14	1985	150	6.436018983852947
349	4	m	2	2	1985	150	5.791441224681128
351	3	f	0	1	1985	150	5.797549526183366
357	4	f	0	11	1985	150	4.903690105842831
366	1	f	1	5	1985	150	4.9938183884804275
372	2	f	1	6	1985	150	5.042480470686444
379	1	m	0	17	1985	150	5.571880261483735
396	0	m	0	14	1985	150	4.14880854725457
401	0	f	2	13	1985	150	3.799513210906425
406	5	m	1	15	1985	150	5.561608384422998
410	2	m	2	13	1985	150	5.83507973531851
413	1	f	1	3	1985	150	4.054563892746784
427	1	m	0	15	1985	150	4.744598007951659
429	1	f	2	8	1985	150	4.297446040788385
433	3	m	2	20	1985	150	NA
438	3	f	0	11	1985	150	5.882217678191997
452	1	m	2	14	1985	150	4.74923787522278
458	1	f	0	11	1985	150	4.3761198972224875
464	3	f	1	11	1985	150	5.952196064914287
473	2	m	0	19	1985	150	6.637876350999399
481	0	f	2	19	1985	150	5.53621966323798
516	1	f	2	17	1985	150	4.385787310851537
522	3	m	2	4	1985	150	4.686239809726738
523	1	m	0	14	1985	150	4.883635759303367
545	1	m	1	1	1985	150	NA
549	5	f	2	2	1985	150	7.5254089970477445
551	3	f	1	4	1985	150	NA
556	0	m	0	8	1985	150	5.483089900508227
569	2	m	2	17	1985	150	7.376203756133857
572	0	m	1	7	1985	150	5.960622873266426
575	5	m	0	20	1985	150	7.214312260100958
588	5	f	2	8	1985	150	6.110101718829309
589	5	f	2	10	1985	150	6.45178063027893
598	3	f	2	16	1985	150	4.707103855304701
625	4	m	0	11	1985	150	5.316659677854438
628	5	m	1	2	1985	150	7.888217411358807
637	4	f	1	17	1985	150	5.579567574349922
649	3	m	1	5	1985	150	6.583978425546176
659	3	m	1	20	1985	150	6.103452884589442
681	2	f	0	18	1985	150	NA
690	1	m	2	17	1985	150	3.9675898011736215
701	0	m	2	7	1985	150	4.889762394835849
719	2	f	2	14	1985	150	4.53219219667788
720	5	f	0	9	1985	150	6.7260863319493165
723	2	f	1	1	1985	150	5.042720560309614
732	4	f	2	18	1985	150	5.956423667147702
737	0	m	1	19	1985	150	4.5310620888213675
742	2	f	2	16	1985	150	4.898452906116758
747	4	m	2	10	1985	150	6.361545655088121
750	2	f	2	10	1985	150	NA
751	0	m	2	6	1985	150	5.685325781282076
754	0	f	2	1	1985	150	5.220884275901966
762	0	m	0	8	1985	150	3.369883771277067
764	4	f	1	15	1985	150	5.199208195606624
788	5	f	2	5	1985	150	5.410083882817883
802	5	m	2	11	1985	150	6.390346961373686
814	3	m	0	7	1985	150	4.997547781489812
816	3	f	0	10	1985	150	4.4282689867533
821	4	f	2	16	1985	150	NA
833	4	m	0	8	1985	150	6.409668867106302
849	4	m	1	19	1985	150	6.906136513327378
850	3	m	2	19	1985	150	5.490563488536546
851	0	f	1	17	1985	150	4.785229524053965
864	2	m	0	11	1985	150	NA
882	3	f	1	7	1985	150	6.326326827502617
883	1	f	1	7	1985	150	5.485127574243858
887	4	m	1	3	1985	150	6.6922188735501456
895	5	f	0	18	1985	150	7.699997328261176
2	0	f	0	12	1986	153	4.989345092592484
17	3	f	2	11	1986	153	5.223023340085938
18	4	f	0	12	1986	153	5.792703668447782
25	6	m	0	15	1986	153	8.269609237643706
30	0	m	2	1	1986	153	4.123050032618374
40	3	f	1	10	1986	153	6.043464063412119
42	0	f	0	18	1986	153	2.97685230744063
46	1	m	2	19	1986	153	5.183529923747988
47	3	f	2	20	1986	153	4.1769329612507295
58	5	m	1	19	1986	153	6.947451568158113
60	5	m	2	3	1986	153	5.365666775363864
71	1	f	0	15	1986	153	3.06427005945224
78	4	f	0	5	1986	153	6.571046927543602
94	6	f	1	11	1986	153	7.797538631984678
98	5	m	1	15	1986	153	6.489104305954072
99	3	m	2	2	1986	153	6.111115800119879
104	2	f	0	8	1986	153	5.028422719916667
113	1	f	0	2	1986	153	NA
116	0	m	2	14	1986	153	3.602189698718692
119	1	m	2	8	1986	153	4.498253938566666
120	4	m	2	10	1986	153	NA
124	0	m	0	17	1986	153	4.390972385187678
125	4	f	1	13	1986	153	5.847675709904668
130	0	m	0	1	1986	153	4.629070058310614
132	2	m	0	12	1986	153	4.169443152979752
136	2	f	1	19	1986	153	4.901896532275861
137	0	f	0	4	1986	153	3.4451781099730208
144	1	m	2	7	1986	153	NA
151	4	f	2	2	1986	153	4.522327797272829
157	6	m	1	9	1986	153	6.611690015109403
162	4	f	2	15	1986	153	4.674147724472407
166	1	m	2	2	1986	153	4.01246824835036
189	4	f	2	20	1986	153	4.911521555653181
195	1	m	1	9	1986	153	3.906726144411063
202	1	f	0	10	1986	153	4.213298776385762
204	3	m	1	7	1986	153	5.574541969628694
212	5	m	0	11	1986	153	6.178396631707402
221	4	m	1	11	1986	153	6.177534931925511
226	1	f	1	10	1986	153	5.631781246900529
231	2	f	1	11	1986	153	4.563526295226909
232	2	m	1	7	1986	153	6.373071622624177
243	1	f	1	4	1986	153	4.6350813486446025
249	1	f	0	7	1986	153	4.371142806909683
251	0	m	0	10	1986	153	4.428954997909354
252	1	m	0	10	1986	153	5.623262136087776
258	2	f	0	12	1986	153	4.882592149593025
262	0	f	0	14	1986	153	3.3203113998469416
268	3	f	2	2	1986	153	4.688893088658053
271	3	f	0	17	1986	153	4.752756858078823
274	1	f	0	5	1986	153	4.119531305205402
282	2	m	2	14	1986	153	5.516334925279296
286	3	m	2	8	1986	153	5.017841673597533
294	2	f	0	17	1986	153	3.8431866278126097
296	0	m	2	18	1986	153	NA
301	4	f	1	2	1986	153	4.489340217501913
304	1	f	2	13	1986	153	4.1220135425449
305	1	m	2	7	1986	153	4.549017211272337
307	2	m	0	5	1986	153	4.082407923850148
311	6	f	0	3	1986	153	NA
318	3	f	0	1	1986	153	5.439506242463993
319	0	f	1	2	1986	153	4.293803564432559
323	5	f	2	15	1986	153	6.6947126067216844
326	6	m	0	7	1986	153	6.414635475739182
338	0	m	2	1	1986	153	4.409044563636476
349	5	m	0	13	1986	153	6.045245275040554
351	4	f	2	10	1986	153	5.515664641692949
357	5	f	2	12	1986	153	5.035305574378487
366	2	f	1	8	1986	153	4.895451551666651
372	3	f	1	1	1986	153	5.149919704107722
379	2	m	0	19	1986	153	NA
396	1	m	0	3	1986	153	4.363087267230381
398	0	m	1	10	1986	153	3.921106830906321
406	6	m	1	16	1986	153	5.4283326362207855
410	3	m	0	17	1986	153	6.599398180818715
411	0	f	0	18	1986	153	3.6209605004827767
413	2	f	2	20	1986	153	4.583047253536789
426	0	m	2	11	1986	153	5.237722787337911
427	2	m	1	15	1986	153	4.4418378438374395
429	2	f	0	16	1986	153	4.474091142003944
433	4	m	1	16	1986	153	5.53857460109188
434	0	f	2	12	1986	153	4.820283901513911
438	4	f	1	2	1986	153	5.889125478223371
447	0	f	2	15	1986	153	3.3378833726930925
452	2	m	2	2	1986	153	4.658845281189583
458	2	f	1	10	1986	153	4.412546208115377
464	4	f	2	4	1986	153	6.157501382960062
473	3	m	2	17	1986	153	6.6034538478339595
481	1	f	2	2	1986	153	5.488955174241466
500	0	m	2	5	1986	153	4.788484432825978
516	2	f	0	18	1986	153	3.896911563088449
522	4	m	0	13	1986	153	5.711334273395757
523	2	m	1	9	1986	153	4.7842128944437174
528	0	f	0	1	1986	153	4.491534272994518
545	2	m	0	7	1986	153	5.322216010132608
549	6	f	0	9	1986	153	6.9790610443311945
551	4	f	0	18	1986	153	NA
556	1	m	0	13	1986	153	5.044325839669459
569	3	m	0	11	1986	153	7.075550095496865
572	1	m	0	17	1986	153	5.820019837676721
575	6	m	1	6	1986	153	7.586845491934068
588	6	f	2	15	1986	153	6.210034000762925
589	6	f	0	1	1986	153	6.2009785632422725
590	0	m	0	17	1986	153	4.997265117877172
598	4	f	0	12	1986	153	4.789837379965202
619	0	m	0	11	1986	153	3.256902141080408
625	5	m	2	20	1986	153	5.617378682481034
628	6	m	2	7	1986	153	7.48487169222208
635	0	m	0	12	1986	153	4.706349494075974
636	0	f	2	14	1986	153	3.732525325093891
637	5	f	0	1	1986	153	5.860731558657493
649	4	m	2	16	1986	153	6.338526998870709
656	0	m	0	18	1986	153	4.736454868539228
659	4	m	1	20	1986	153	5.910597905076736
666	0	f	0	4	1986	153	3.9200715857081776
681	3	f	0	8	1986	153	5.0646558277581
690	2	m	1	20	1986	153	4.166323854229225
701	1	m	2	10	1986	153	5.325159603281394
719	3	f	1	14	1986	153	4.33400134624269
720	6	f	2	1	1986	153	7.3351445204266925
723	3	f	0	4	1986	153	4.641872848013666
732	5	f	0	1	1986	153	NA
737	1	m	2	7	1986	153	3.9678725401573876
742	3	f	1	1	1986	153	4.785107144468501
747	5	m	2	4	1986	153	6.66112249624111
750	3	f	0	9	1986	153	5.649719557636646
751	1	m	1	3	1986	153	5.568829123031861
754	1	f	1	12	1986	153	5.671799402104642
759	0	f	0	19	1986	153	5.03812436565594
762	1	m	2	6	1986	153	3.581082203141972
764	5	f	0	2	1986	153	5.218674943321188
788	6	f	1	15	1986	153	5.899906709809834
802	6	m	0	1	1986	153	6.271499952574476
814	4	m	2	12	1986	153	5.3179516130275735
816	4	f	1	19	1986	153	NA
821	5	f	2	18	1986	153	6.052604987533743
833	5	m	2	1	1986	153	6.367000186413066
846	0	m	1	2	1986	153	4.189347775231029
849	5	m	0	16	1986	153	6.902733007764081
850	4	m	1	13	1986	153	5.97800719551637
851	1	f	0	17	1986	153	4.390964560198296
864	3	m	2	8	1986	153	6.031356197572205
867	0	f	0	17	1986	153	3.888287085422161
882	4	f	2	1	1986	153	6.538927019496107
883	2	f	0	11	1986	153	5.476572609230308
887	5	m	0	19	1986	153	7.422706772411444
895	6	f	2	1	1986	153	7.257682651627625
2	1	f	2	3	1987	155	6.155377885689331
17	4	f	0	11	1987	155	5.820508727157437
22	0	f	2	1	1987	155	4.226747141609963
25	7	m	0	19	1987	155	8.43392682753361
28	0	m	1	5	1987	155	3.9613770768913494
30	1	m	0	2	1987	155	5.070326550888845
40	4	f	1	2	1987	155	6.386165519937073
42	1	f	1	7	1987	155	NA
46	2	m	1	3	1987	155	5.613672355086264
47	4	f	1	9	1987	155	5.105473299729019
58	6	m	0	20	1987	155	7.338509654657644
60	6	m	1	1	1987	155	6.538109444062243
61	0	f	0	13	1987	155	4.094998442198543
71	2	f	1	1	1987	155	3.846594853344416
73	0	m	2	18	1987	155	4.398396044663257
76	0	f	2	14	1987	155	4.796921322134721
78	5	f	2	17	1987	155	NA
84	0	m	0	6	1987	155	NA
94	7	f	0	3	1987	155	NA
98	6	m	0	14	1987	155	7.181201507283811
99	4	m	0	8	1987	155	6.7185196558955464
104	3	f	0	15	1987	155	5.227490941706673
113	2	f	0	12	1987	155	5.362594157590685
116	1	m	0	12	1987	155	4.639499022608863
119	2	m	2	2	1987	155	4.573569370805863
120	5	m	2	12	1987	155	7.029678954568747
124	1	m	1	17	1987	155	4.838661021683788
125	5	f	1	1	1987	155	NA
130	1	m	2	1	1987	155	NA
132	3	m	2	9	1987	155	4.553698872849176
136	3	f	0	17	1987	155	5.510371448951869
137	1	f	2	6	1987	155	4.039311939789522
144	2	m	0	2	1987	155	6.277780437645977
151	5	f	2	4	1987	155	NA
157	7	m	0	1	1987	155	7.4079203838767835
162	5	f	0	11	1987	155	5.4167426073160625
